INFO  2016-04-27 13:21:34,858 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,862 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,866 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,867 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,867 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,868 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,869 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,869 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,871 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,872 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,873 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,873 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,874 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,874 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,877 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,881 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,882 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,883 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,884 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,885 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,886 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,886 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
